date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:05	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://adventurega.me/bootstrap/css/bootstrap.min.css)
14:19:06	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://adventurega.me/bootstrap/css/bootstrap.min.css)
14:19:11	45404/45404	---M--	200	added ('OK')	font/ttf	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://adventurega.me/bootstrap/css/bootstrap.min.css)
14:19:15	56780/56780	---M--	200	added ('OK')	font/woff2	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfonte0a5.woff2	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:15	60767/60767	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.eot?v=4.3.0	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfonte0a5.eot	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:16	60767/60767	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:22	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:23	71508/71508	---M--	200	added ('OK')	application/font-woff	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:30	122092/122092	---M--	200	added ('OK')	font/ttf	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://adventurega.me/bootstrap/font-awesome/css/font-awesome.min.css)
14:19:30	125976/125976	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Dec%202016%2003:32:59%20GMT	http://adventurega.me/bootstrap/img/header.jpg	C:/Users/eaonaer/Desktop/eif_website/site2/eif/eif/adventurega.me/bootstrap/img/header.jpg	(from http://adventurega.me/bootstrap/css/creative.css)
